epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,23.298,1.1939,3.37295,5.0955,1.84315,0,0.00348,1,0.66333,0.31664,0.00348,1,0.66333,0.66333,1.08166,0.2971,3.54109,1.88307,0,0.00025005,0.00025005,0.00025005
2,29.1121,0.6947,0.45399,3.66561,1.5202,0,0.00954,1,0.995,0.94525,0.00954,1,0.995,0.995,0.4193,0.23862,3.30459,1.52883,0,0.000508243,0.000508243,0.000508243
3,33.6139,0.64835,0.27721,3.08253,1.41975,0,0.00565,1,0.995,0.64675,0.00565,1,0.995,0.76283,0.92505,6.65281,3.32255,2.1166,0,0.000757635,0.000757635,0.000757635
4,38.176,0.6993,0.33776,2.83552,1.46014,0,0.00335,1,0.995,0.8955,0.00335,1,0.995,0.94525,0.69365,0.7062,2.95048,1.67766,0,0.000998225,0.000998225,0.000998225
5,42.6392,0.7032,0.3438,2.74187,1.45811,0,0.72695,1,0.995,0.76283,0.72695,1,0.995,0.995,0.69235,0.17898,2.29557,1.89955,0,0.00123001,0.00123001,0.00123001
6,46.9273,0.62872,0.42704,2.45688,1.36352,0,0.65923,0.5,0.995,0.84575,0.65923,0.5,0.995,0.94525,0.81918,0.63748,2.45852,1.90865,0,0.001453,0.001453,0.001453
7,51.3459,0.54892,0.37885,2.38262,1.30802,0,0.69896,1,0.995,0.8955,0.69896,1,0.995,0.995,0.5587,0.13031,2.12189,1.37652,0,0.00150197,0.00150197,0.00150197
8,55.8775,0.55099,0.29876,2.30994,1.27684,0,0.72115,1,0.995,0.796,0.72115,1,0.995,0.84575,0.7292,4.71018,1.9662,1.99471,0,0.00147446,0.00147446,0.00147446
9,60.3509,0.53232,0.34001,2.15672,1.24892,0,0.74302,1,0.995,0.84575,0.74302,1,0.995,0.84575,0.73009,1.94687,2.23744,2.02154,0,0.00144696,0.00144696,0.00144696
10,64.7511,0.55907,0.24888,2.07677,1.27527,0,0.45992,1,0.62187,0.50994,0.45992,1,0.62187,0.4975,1.08853,2.23955,2.42988,2.16332,0,0.00141945,0.00141945,0.00141945
11,69.072,0.54245,0.25127,1.95661,1.25157,0,0.56972,1,0.995,0.8955,0.56972,1,0.995,0.74625,0.78946,9.37325,2.35825,1.87876,0,0.00139195,0.00139195,0.00139195
12,73.335,0.52531,0.24295,1.93526,1.24606,0,0.95947,1,0.995,0.84575,0.95947,1,0.995,0.995,0.65779,0.17311,1.3811,1.50629,0,0.00136444,0.00136444,0.00136444
13,77.7038,0.49887,0.2266,1.72172,1.16492,0,0.9697,1,0.995,0.84575,0.9697,1,0.995,0.995,0.56766,0.1577,0.98233,1.30917,0,0.00133693,0.00133693,0.00133693
14,82.2347,0.46865,0.20365,1.6402,1.1646,0,0.98612,0.5,0.74625,0.54768,0.98612,0.5,0.74625,0.59828,0.72081,3.27627,2.27918,1.76519,0,0.00130943,0.00130943,0.00130943
